91	138076	LT+BT	20221	4	1505	1730	D9-305	0	120	NULL	NULL	BF3533
92	138077	LT+BT	20221	4	1230	1455	D9-305	0	120	NULL	NULL	BF3533
93	725449	TN	20221	2	0730	1145	C4-301	0	20	NULL	NULL	BF3533
94	725449	TN	20221	2	0730	1145	TTB4	0	20	NULL	NULL	BF3533
95	725450	TN	20221	3	0730	1145	C4-301	0	20	NULL	NULL	BF3533
96	725450	TN	20221	3	0730	1145	TTB4	0	20	NULL	NULL	BF3533
97	725451	TN	20221	4	0730	1145	C4-301	0	20	NULL	NULL	BF3533
98	725451	TN	20221	4	0730	1145	TTB4	0	20	NULL	NULL	BF3533
99	725452	TN	20221	5	0730	1145	TTB4	0	20	NULL	NULL	BF3533
100	725452	TN	20221	5	0730	1145	C4-301	0	20	NULL	NULL	BF3533
101	725453	TN	20221	6	0730	1145	TTB4	0	20	NULL	NULL	BF3533
102	725453	TN	20221	6	0730	1145	C4-301	0	20	NULL	NULL	BF3533
103	725454	TN	20221	7	0730	1145	TTB4	0	20	NULL	NULL	BF3533
104	725454	TN	20221	7	0730	1145	C4-301	0	20	NULL	NULL	BF3533
105	725455	TN	20221	2	0730	1145	TTB4	0	20	NULL	NULL	BF3533
106	725455	TN	20221	2	0730	1145	C4-301	0	20	NULL	NULL	BF3533
107	725456	TN	20221	3	0730	1145	TTB4	0	20	NULL	NULL	BF3533
108	725456	TN	20221	3	0730	1145	C4-301	0	20	NULL	NULL	BF3533
109	725457	TN	20221	4	0730	1145	TTB4	0	20	NULL	NULL	BF3533
110	725457	TN	20221	4	0730	1145	C4-301	0	20	NULL	NULL	BF3533
111	725458	TN	20221	5	0730	1145	TTB4	0	20	NULL	NULL	BF3533
112	725458	TN	20221	5	0730	1145	C4-301	0	20	NULL	NULL	BF3533
113	725459	TN	20221	6	0730	1145	C4-301	0	20	NULL	NULL	BF3533
114	725459	TN	20221	6	0730	1145	TTB4	0	20	NULL	NULL	BF3533
115	725460	TN	20221	7	0730	1145	C4-301	0	20	NULL	NULL	BF3533
116	725460	TN	20221	7	0730	1145	TTB4	0	20	NULL	NULL	BF3533
117	722614	?A	20221	NULL	NULL	NULL	NULL	0	200	NULL	NULL	BF3536
118	138059	LT+BT	20221	2	1230	1455	D3-402	0	60	NULL	NULL	BF3701
119	138060	LT+BT	20221	2	1505	1730	D3-403	0	60	NULL	NULL	BF3701
120	724543	TN	20221	2	0730	1145	C4-401A	0	17	NULL	NULL	BF3702
121	724544	TN	20221	3	0730	1145	C4-401A	0	17	NULL	NULL	BF3702
122	724545	TN	20221	4	0730	1145	C4-401A	0	17	NULL	NULL	BF3702
123	724546	TN	20221	5	0730	1145	C4-401A	0	17	NULL	NULL	BF3702
124	724547	TN	20221	6	0730	1145	C4-401A	0	17	NULL	NULL	BF3702
125	138061	LT+BT	20221	4	1230	1400	D3-402	0	60	NULL	NULL	BF3703
126	138062	LT+BT	20221	4	1410	1550	D3-402	0	60	NULL	NULL	BF3703
127	724538	TN	20221	2	0730	1145	C4-401A	0	20	NULL	NULL	BF3703
128	724539	TN	20221	3	0730	1145	C4-401A	0	20	NULL	NULL	BF3703
129	724540	TN	20221	4	0730	1145	C4-401A	0	20	NULL	NULL	BF3703
130	724541	TN	20221	5	0730	1145	C4-401A	0	20	NULL	NULL	BF3703
131	724542	TN	20221	6	0730	1145	C4-401A	0	20	NULL	NULL	BF3703
132	138065	LT+BT	20221	6	1230	1400	D3-402	0	60	NULL	NULL	BF3704
133	138066	LT+BT	20221	6	1410	1730	D3-402	0	60	NULL	NULL	BF3705
134	138064	LT+BT	20221	6	0645	0910	D7-404	0	120	NULL	NULL	BF3712
135	725461	TN	20221	2	0730	1145	C4-301	0	21	NULL	NULL	BF3712
136	725461	TN	20221	2	0730	1145	TTB4	0	21	NULL	NULL	BF3712
137	725462	TN	20221	3	0730	1145	TTB4	0	21	NULL	NULL	BF3712
138	725462	TN	20221	3	0730	1145	C4-301	0	21	NULL	NULL	BF3712
139	725463	TN	20221	4	0730	1145	C4-301	0	21	NULL	NULL	BF3712
140	725463	TN	20221	4	0730	1145	TTB4	0	21	NULL	NULL	BF3712
141	725464	TN	20221	5	0730	1145	TTB4	0	21	NULL	NULL	BF3712
142	725464	TN	20221	5	0730	1145	C4-301	0	21	NULL	NULL	BF3712
143	725465	TN	20221	6	0730	1145	C4-301	0	20	NULL	NULL	BF3712
144	725465	TN	20221	6	0730	1145	TTB4	0	20	NULL	NULL	BF3712
145	722616	?A	20221	NULL	NULL	NULL	NULL	0	200	NULL	NULL	BF3714
146	724556	TN	20221	2	0730	1145	B1-305	0	15	NULL	NULL	BF4162
147	724556	TN	20221	3	0730	1145	B1-305	0	15	NULL	NULL	BF4162
148	724556	TN	20221	4	0730	1145	B1-305	0	15	NULL	NULL	BF4162
149	724556	TN	20221	5	0730	1145	B1-305	0	15	NULL	NULL	BF4162
150	724556	TN	20221	6	0730	1145	B1-305	0	15	NULL	NULL	BF4162
151	722597	?ATN	20221	NULL	NULL	NULL	NULL	0	200	NULL	NULL	BF4191
152	722606	?A	20221	NULL	NULL	NULL	NULL	0	200	NULL	NULL	BF4215
153	722611	?A	20221	NULL	NULL	NULL	NULL	0	200	NULL	NULL	BF4321
